Stimulus_Pair,response,correct,Block,phase,pers,delay,rpred,caseid
animal (1).png,z,1,3,train,0.0,2.0,11.0,1
fruits (3).png,m,0,6,train,0.0,0.0,0.0,1
fruits (6).png,z,1,6,train,0.0,0.0,0.0,1
fruits (4).png,z,1,6,train,0.0,0.0,0.0,1
fruits (5).png,z,0,6,train,0.0,0.0,0.0,1
fruits (1).png,z,0,6,train,0.0,0.0,0.0,1
fruits (2).png,z,0,6,train,0.0,0.0,0.0,1
fruits (6).png,m,0,6,train,0.0,5.0,1.0,1
fruits (1).png,m,1,6,train,0.0,0.0,0.0,1
fruits (5).png,m,1,6,train,0.0,0.0,0.0,1
fruits (4).png,z,1,6,train,0.0,7.0,1.0,1
fruits (2).png,z,0,6,train,1.0,0.0,0.0,1
fruits (3).png,z,1,6,train,0.0,0.0,0.0,1
fruits (1).png,m,1,6,train,0.0,5.0,1.0,1
fruits (3).png,m,0,6,train,1.0,2.0,1.0,1
fruits (2).png,z,0,6,train,1.0,0.0,0.0,1
fruits (6).png,m,0,6,train,1.0,14.0,1.0,1
fruits (5).png,z,0,6,train,1.0,8.0,1.0,1
fruits (4).png,z,1,6,train,0.0,8.0,2.0,1
fruits (5).png,m,1,6,train,0.0,10.0,1.0,1
fruits (2).png,m,1,6,train,0.0,0.0,0.0,1
fruits (6).png,m,0,6,train,1.0,19.0,1.0,1
fruits (1).png,z,0,6,train,1.0,9.0,2.0,1
fruits (4).png,z,1,6,train,0.0,5.0,3.0,1
fruits (3).png,m,0,6,train,1.0,12.0,1.0,1
fruits (6).png,m,0,6,train,1.0,23.0,1.0,1
fruits (5).png,z,0,6,train,1.0,7.0,2.0,1
fruits (2).png,z,0,6,train,1.0,7.0,1.0,1
fruits (3).png,z,1,6,train,0.0,16.0,1.0,1
fruits (4).png,z,1,6,train,0.0,6.0,4.0,1
fruits (1).png,z,0,6,train,1.0,17.0,2.0,1
fruits (6).png,z,1,6,train,0.0,29.0,1.0,1
fruits (3).png,m,0,6,train,1.0,4.0,2.0,1
fruits (4).png,z,1,6,train,0.0,4.0,5.0,1
fruits (1).png,m,1,6,train,0.0,21.0,2.0,1
fruits (2).png,m,1,6,train,0.0,15.0,1.0,1
fruits (5).png,m,1,6,train,0.0,17.0,2.0,1
fruits (2).png,m,1,6,train,0.0,2.0,2.0,1
fruits (3).png,z,1,6,train,0.0,10.0,2.0,1
fruits (5).png,m,1,6,train,0.0,3.0,3.0,1
fruits (4).png,z,1,6,train,0.0,7.0,6.0,1
fruits (1).png,m,1,6,train,0.0,7.0,3.0,1
fruits (6).png,m,0,6,train,1.0,11.0,2.0,1
fruits (2).png,m,1,6,train,0.0,6.0,3.0,1
fruits (1).png,m,1,6,train,0.0,3.0,4.0,1
fruits (4).png,z,1,6,train,0.0,5.0,7.0,1
fruits (3).png,m,0,6,train,1.0,8.0,3.0,1
fruits (5).png,m,1,6,train,0.0,8.0,4.0,1
fruits (6).png,z,1,6,train,0.0,17.0,2.0,1
fruits (3).png,z,1,6,train,0.0,11.0,3.0,1
fruits (2).png,z,0,6,train,1.0,7.0,4.0,1
fruits (6).png,z,1,6,train,0.0,3.0,3.0,1
fruits (1).png,m,1,6,train,0.0,8.0,5.0,1
fruits (4).png,z,1,6,train,0.0,8.0,8.0,1
fruits (5).png,m,1,6,train,0.0,7.0,5.0,1
fruits (2).png,m,1,6,train,0.0,12.0,4.0,1
fruits (6).png,z,1,6,train,0.0,5.0,4.0,1
fruits (3).png,z,1,6,train,0.0,8.0,4.0,1
fruits (1).png,m,1,6,train,0.0,6.0,6.0,1
fruits (4).png,z,1,6,train,0.0,6.0,9.0,1
fruits (5).png,m,1,6,train,0.0,6.0,6.0,1
fruits (3).png,m,0,6,train,1.0,4.0,5.0,1
fruits (5).png,z,0,6,train,1.0,2.0,7.0,1
fruits (2).png,m,1,6,train,0.0,8.0,5.0,1
fruits (6).png,z,1,6,train,0.0,8.0,5.0,1
fruits (1).png,m,1,6,train,0.0,7.0,7.0,1
fruits (4).png,z,1,6,train,0.0,7.0,10.0,1
fruits (5).png,m,1,6,train,0.0,7.0,7.0,1
fruits (2).png,z,0,6,train,1.0,5.0,6.0,1
fruits (1).png,m,1,6,train,0.0,4.0,8.0,1
fruits (4).png,z,1,6,train,0.0,4.0,11.0,1
fruits (3).png,z,1,6,train,0.0,14.0,5.0,1
fruits (6).png,z,1,6,train,0.0,8.0,6.0,1
fruits (5).png,m,1,6,train,0.0,6.0,8.0,1
fruits (1).png,m,1,6,train,0.0,5.0,9.0,1
fruits (2).png,m,1,6,train,0.0,12.0,6.0,1
fruits (4).png,z,1,6,train,0.0,6.0,12.0,1
fruits (3).png,z,1,6,train,0.0,6.0,6.0,1
fruits (6).png,m,0,6,train,1.0,6.0,7.0,1
tools (1).png,m,0,3,train,0.0,0.0,0.0,1
tools (2).png,m,1,3,train,0.0,0.0,0.0,1
tools (3).png,m,1,3,train,0.0,0.0,0.0,1
tools (1).png,z,1,3,train,0.0,0.0,0.0,1
tools (3).png,m,1,3,train,0.0,2.0,1.0,1
tools (2).png,m,1,3,train,0.0,4.0,1.0,1
tools (2).png,m,1,3,train,0.0,1.0,2.0,1
tools (3).png,m,1,3,train,0.0,3.0,2.0,1
tools (1).png,z,1,3,train,0.0,5.0,1.0,1
tools (1).png,m,0,3,train,1.0,1.0,2.0,1
tools (2).png,m,1,3,train,0.0,4.0,3.0,1
tools (3).png,m,1,3,train,0.0,4.0,3.0,1
tools (1).png,z,1,3,train,0.0,4.0,2.0,1
tools (3).png,m,1,3,train,0.0,2.0,4.0,1
tools (2).png,m,1,3,train,0.0,4.0,4.0,1
tools (2).png,m,1,3,train,0.0,1.0,5.0,1
tools (3).png,m,1,3,train,0.0,3.0,5.0,1
tools (1).png,z,1,3,train,0.0,5.0,3.0,1
tools (3).png,m,1,3,train,0.0,2.0,6.0,1
tools (2).png,m,1,3,train,0.0,4.0,6.0,1
tools (1).png,z,1,3,train,0.0,3.0,4.0,1
tools (1).png,z,1,3,train,0.0,1.0,5.0,1
tools (3).png,m,1,3,train,0.0,4.0,7.0,1
tools (2).png,m,1,3,train,0.0,4.0,7.0,1
tools (2).png,m,1,3,train,0.0,1.0,8.0,1
tools (3).png,m,1,3,train,0.0,3.0,8.0,1
tools (1).png,z,1,3,train,0.0,5.0,6.0,1
tools (3).png,m,1,3,train,0.0,2.0,9.0,1
tools (1).png,z,1,3,train,0.0,2.0,7.0,1
tools (2).png,m,1,3,train,0.0,5.0,9.0,1
tools (2).png,m,1,3,train,0.0,1.0,10.0,1
tools (3).png,m,1,3,train,0.0,4.0,10.0,1
tools (2).png,m,1,3,train,0.0,2.0,11.0,1
tools (1).png,z,1,3,train,0.0,5.0,8.0,1
tools (3).png,m,1,3,train,0.0,3.0,11.0,1
tools (1).png,z,1,3,train,0.0,2.0,9.0,1
clothes (3).png,m,0,6,train,0.0,0.0,0.0,1
clothes (6).png,m,0,6,train,0.0,0.0,0.0,1
clothes (4).png,m,0,6,train,0.0,0.0,0.0,1
clothes (5).png,m,1,6,train,0.0,0.0,0.0,1
clothes (1).png,z,0,6,train,0.0,0.0,0.0,1
clothes (2).png,m,1,6,train,0.0,0.0,0.0,1
clothes (6).png,z,1,6,train,0.0,0.0,0.0,1
clothes (1).png,m,1,6,train,0.0,0.0,0.0,1
clothes (5).png,z,0,6,train,0.0,5.0,1.0,1
clothes (4).png,z,1,6,train,0.0,0.0,0.0,1
clothes (2).png,z,0,6,train,0.0,5.0,1.0,1
clothes (3).png,z,1,6,train,0.0,0.0,0.0,1
clothes (1).png,z,0,6,train,1.0,5.0,1.0,1
clothes (3).png,z,1,6,train,0.0,2.0,1.0,1
clothes (2).png,m,1,6,train,0.0,9.0,1.0,1
clothes (6).png,z,1,6,train,0.0,9.0,1.0,1
clothes (5).png,m,1,6,train,0.0,13.0,1.0,1
clothes (4).png,z,1,6,train,0.0,8.0,1.0,1
clothes (5).png,m,1,6,train,0.0,2.0,2.0,1
clothes (2).png,z,0,6,train,1.0,5.0,2.0,1
clothes (6).png,z,1,6,train,0.0,5.0,2.0,1
clothes (1).png,z,0,6,train,1.0,14.0,1.0,1
clothes (4).png,z,1,6,train,0.0,5.0,2.0,1
clothes (3).png,z,1,6,train,0.0,10.0,2.0,1
clothes (6).png,z,1,6,train,0.0,4.0,3.0,1
clothes (5).png,m,1,6,train,0.0,7.0,3.0,1
clothes (2).png,m,1,6,train,0.0,12.0,2.0,1
clothes (3).png,z,1,6,train,0.0,4.0,3.0,1
clothes (4).png,z,1,6,train,0.0,6.0,3.0,1
clothes (1).png,m,1,6,train,0.0,22.0,1.0,1
clothes (6).png,z,1,6,train,0.0,6.0,4.0,1
clothes (3).png,z,1,6,train,0.0,4.0,4.0,1
clothes (4).png,z,1,6,train,0.0,4.0,4.0,1
clothes (1).png,m,1,6,train,0.0,4.0,2.0,1
clothes (2).png,m,1,6,train,0.0,8.0,3.0,1
clothes (5).png,m,1,6,train,0.0,10.0,4.0,1
clothes (2).png,m,1,6,train,0.0,2.0,4.0,1
clothes (3).png,z,1,6,train,0.0,6.0,5.0,1
clothes (5).png,m,1,6,train,0.0,3.0,5.0,1
clothes (4).png,z,1,6,train,0.0,7.0,5.0,1
clothes (1).png,m,1,6,train,0.0,7.0,3.0,1
clothes (6).png,z,1,6,train,0.0,11.0,5.0,1
clothes (2).png,m,1,6,train,0.0,6.0,5.0,1
clothes (1).png,z,0,6,train,1.0,3.0,4.0,1
clothes (4).png,z,1,6,train,0.0,5.0,6.0,1
clothes (3).png,z,1,6,train,0.0,8.0,6.0,1
clothes (5).png,m,1,6,train,0.0,8.0,6.0,1
clothes (6).png,z,1,6,train,0.0,6.0,6.0,1
clothes (3).png,z,1,6,train,0.0,3.0,7.0,1
clothes (2).png,m,1,6,train,0.0,7.0,6.0,1
clothes (6).png,z,1,6,train,0.0,3.0,7.0,1
clothes (1).png,m,1,6,train,0.0,11.0,4.0,1
clothes (4).png,z,1,6,train,0.0,8.0,7.0,1
clothes (5).png,m,1,6,train,0.0,7.0,7.0,1
clothes (2).png,m,1,6,train,0.0,5.0,7.0,1
clothes (6).png,z,1,6,train,0.0,5.0,8.0,1
clothes (3).png,z,1,6,train,0.0,8.0,8.0,1
clothes (1).png,z,0,6,train,1.0,6.0,5.0,1
clothes (4).png,z,1,6,train,0.0,6.0,8.0,1
clothes (5).png,m,1,6,train,0.0,6.0,8.0,1
clothes (3).png,z,1,6,train,0.0,4.0,9.0,1
clothes (5).png,m,1,6,train,0.0,2.0,9.0,1
clothes (2).png,m,1,6,train,0.0,8.0,8.0,1
clothes (6).png,z,1,6,train,0.0,8.0,9.0,1
clothes (1).png,z,0,6,train,1.0,13.0,5.0,1
clothes (4).png,z,1,6,train,0.0,7.0,9.0,1
clothes (5).png,m,1,6,train,0.0,5.0,10.0,1
clothes (2).png,m,1,6,train,0.0,5.0,9.0,1
clothes (1).png,m,1,6,train,0.0,17.0,5.0,1
clothes (4).png,z,1,6,train,0.0,4.0,10.0,1
clothes (3).png,z,1,6,train,0.0,10.0,10.0,1
clothes (6).png,z,1,6,train,0.0,8.0,10.0,1
clothes (5).png,m,1,6,train,0.0,6.0,11.0,1
clothes (1).png,m,1,6,train,0.0,5.0,6.0,1
clothes (2).png,m,1,6,train,0.0,7.0,10.0,1
clothes (4).png,z,1,6,train,0.0,6.0,11.0,1
clothes (3).png,z,1,6,train,0.0,6.0,11.0,1
clothes (6).png,z,1,6,train,0.0,6.0,11.0,1
face (1).png,m,0,3,train,0.0,0.0,0.0,1
face (2).png,m,1,3,train,0.0,0.0,0.0,1
face (3).png,m,1,3,train,0.0,0.0,0.0,1
face (1).png,z,1,3,train,0.0,0.0,0.0,1
face (3).png,m,1,3,train,0.0,2.0,1.0,1
face (2).png,m,1,3,train,0.0,4.0,1.0,1
face (2).png,m,1,3,train,0.0,1.0,2.0,1
face (3).png,m,1,3,train,0.0,3.0,2.0,1
face (1).png,z,1,3,train,0.0,5.0,1.0,1
face (1).png,z,1,3,train,0.0,1.0,2.0,1
face (2).png,m,1,3,train,0.0,4.0,3.0,1
face (3).png,m,1,3,train,0.0,4.0,3.0,1
face (1).png,z,1,3,train,0.0,3.0,3.0,1
face (3).png,m,1,3,train,0.0,2.0,4.0,1
face (2).png,m,1,3,train,0.0,4.0,4.0,1
face (2).png,m,1,3,train,0.0,1.0,5.0,1
face (3).png,m,1,3,train,0.0,3.0,5.0,1
face (1).png,z,1,3,train,0.0,5.0,4.0,1
face (3).png,m,1,3,train,0.0,2.0,6.0,1
face (2).png,m,1,3,train,0.0,4.0,6.0,1
face (1).png,z,1,3,train,0.0,3.0,5.0,1
face (1).png,z,1,3,train,0.0,1.0,6.0,1
face (3).png,m,1,3,train,0.0,4.0,7.0,1
face (2).png,m,1,3,train,0.0,4.0,7.0,1
face (2).png,m,1,3,train,0.0,1.0,8.0,1
face (3).png,m,1,3,train,0.0,3.0,8.0,1
face (1).png,z,1,3,train,0.0,5.0,7.0,1
face (3).png,m,1,3,train,0.0,2.0,9.0,1
face (1).png,z,1,3,train,0.0,2.0,8.0,1
face (2).png,m,1,3,train,0.0,5.0,9.0,1
face (2).png,m,1,3,train,0.0,1.0,10.0,1
face (3).png,m,1,3,train,0.0,4.0,10.0,1
face (2).png,m,1,3,train,0.0,2.0,11.0,1
face (1).png,m,0,3,train,1.0,5.0,9.0,1
face (3).png,m,1,3,train,0.0,3.0,11.0,1
face (1).png,z,1,3,train,0.0,7.0,9.0,1
color (3).png,m,0,6,train,0.0,0.0,0.0,1
color (6).png,m,0,6,train,0.0,0.0,0.0,1
color (4).png,m,0,6,train,0.0,0.0,0.0,1
color (5).png,m,1,6,train,0.0,0.0,0.0,1
color (1).png,m,1,6,train,0.0,0.0,0.0,1
color (2).png,m,1,6,train,0.0,0.0,0.0,1
color (6).png,z,1,6,train,0.0,0.0,0.0,1
color (1).png,m,1,6,train,0.0,3.0,1.0,1
color (5).png,m,1,6,train,0.0,5.0,1.0,1
color (4).png,z,1,6,train,0.0,0.0,0.0,1
color (2).png,m,1,6,train,0.0,5.0,1.0,1
color (3).png,z,1,6,train,0.0,0.0,0.0,1
color (1).png,m,1,6,train,0.0,5.0,2.0,1
color (3).png,m,0,6,train,1.0,2.0,1.0,1
color (2).png,m,1,6,train,0.0,4.0,2.0,1
color (6).png,z,1,6,train,0.0,9.0,1.0,1
color (5).png,m,1,6,train,0.0,8.0,2.0,1
color (4).png,z,1,6,train,0.0,8.0,1.0,1
color (5).png,m,1,6,train,0.0,2.0,3.0,1
color (2).png,m,1,6,train,0.0,5.0,3.0,1
color (6).png,z,1,6,train,0.0,5.0,2.0,1
color (1).png,m,1,6,train,0.0,9.0,3.0,1
color (4).png,z,1,6,train,0.0,5.0,2.0,1
color (3).png,z,1,6,train,0.0,12.0,1.0,1
color (6).png,z,1,6,train,0.0,4.0,3.0,1
color (5).png,m,1,6,train,0.0,7.0,4.0,1
color (2).png,m,1,6,train,0.0,7.0,4.0,1
color (3).png,z,1,6,train,0.0,4.0,2.0,1
color (4).png,z,1,6,train,0.0,6.0,3.0,1
color (1).png,m,1,6,train,0.0,8.0,4.0,1
color (6).png,z,1,6,train,0.0,6.0,4.0,1
color (3).png,z,1,6,train,0.0,4.0,3.0,1
color (4).png,z,1,6,train,0.0,4.0,4.0,1
color (1).png,m,1,6,train,0.0,4.0,5.0,1
color (2).png,m,1,6,train,0.0,8.0,5.0,1
color (5).png,m,1,6,train,0.0,10.0,5.0,1
color (2).png,m,1,6,train,0.0,2.0,6.0,1
color (3).png,z,1,6,train,0.0,6.0,4.0,1
color (5).png,m,1,6,train,0.0,3.0,6.0,1
color (4).png,z,1,6,train,0.0,7.0,5.0,1
color (1).png,m,1,6,train,0.0,7.0,6.0,1
color (6).png,z,1,6,train,0.0,11.0,5.0,1
color (2).png,m,1,6,train,0.0,6.0,7.0,1
color (1).png,m,1,6,train,0.0,3.0,7.0,1
color (4).png,z,1,6,train,0.0,5.0,6.0,1
color (3).png,z,1,6,train,0.0,8.0,5.0,1
color (5).png,m,1,6,train,0.0,8.0,7.0,1
color (6).png,z,1,6,train,0.0,6.0,6.0,1
color (3).png,z,1,6,train,0.0,3.0,6.0,1
color (2).png,z,0,6,train,0.0,7.0,8.0,1
color (6).png,z,1,6,train,0.0,3.0,7.0,1
color (1).png,m,1,6,train,0.0,8.0,8.0,1
color (4).png,z,1,6,train,0.0,8.0,7.0,1
color (5).png,m,1,6,train,0.0,7.0,8.0,1
color (2).png,m,1,6,train,0.0,12.0,8.0,1
color (6).png,z,1,6,train,0.0,5.0,8.0,1
color (3).png,z,1,6,train,0.0,8.0,7.0,1
color (1).png,m,1,6,train,0.0,6.0,9.0,1
color (4).png,z,1,6,train,0.0,6.0,8.0,1
color (5).png,m,1,6,train,0.0,6.0,9.0,1
color (3).png,z,1,6,train,0.0,4.0,8.0,1
color (5).png,m,1,6,train,0.0,2.0,10.0,1
color (2).png,m,1,6,train,0.0,8.0,9.0,1
color (6).png,z,1,6,train,0.0,8.0,9.0,1
color (1).png,m,1,6,train,0.0,7.0,10.0,1
color (4).png,z,1,6,train,0.0,7.0,9.0,1
color (5).png,m,1,6,train,0.0,5.0,11.0,1
color (2).png,m,1,6,train,0.0,5.0,10.0,1
color (1).png,m,1,6,train,0.0,4.0,11.0,1
color (4).png,z,1,6,train,0.0,4.0,10.0,1
color (3).png,z,1,6,train,0.0,10.0,9.0,1
color (6).png,z,1,6,train,0.0,8.0,10.0,1
color (5).png,m,1,6,train,0.0,6.0,12.0,1
color (1).png,m,1,6,train,0.0,5.0,12.0,1
color (2).png,m,1,6,train,0.0,7.0,11.0,1
color (4).png,z,1,6,train,0.0,6.0,11.0,1
color (3).png,z,1,6,train,0.0,6.0,10.0,1
color (6).png,z,1,6,train,0.0,6.0,11.0,1
symbol (1).png,m,0,3,train,0.0,0.0,0.0,1
symbol (2).png,m,1,3,train,0.0,0.0,0.0,1
symbol (3).png,m,1,3,train,0.0,0.0,0.0,1
symbol (1).png,z,1,3,train,0.0,0.0,0.0,1
symbol (3).png,m,1,3,train,0.0,2.0,1.0,1
symbol (2).png,m,1,3,train,0.0,4.0,1.0,1
symbol (2).png,m,1,3,train,0.0,1.0,2.0,1
symbol (3).png,m,1,3,train,0.0,3.0,2.0,1
symbol (1).png,z,1,3,train,0.0,5.0,1.0,1
symbol (1).png,z,1,3,train,0.0,1.0,2.0,1
symbol (2).png,m,1,3,train,0.0,4.0,3.0,1
symbol (3).png,m,1,3,train,0.0,4.0,3.0,1
symbol (1).png,z,1,3,train,0.0,3.0,3.0,1
symbol (3).png,m,1,3,train,0.0,2.0,4.0,1
symbol (2).png,m,1,3,train,0.0,4.0,4.0,1
symbol (2).png,m,1,3,train,0.0,1.0,5.0,1
symbol (3).png,m,1,3,train,0.0,3.0,5.0,1
symbol (1).png,z,1,3,train,0.0,5.0,4.0,1
